Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Easington_hourly,500,24,7.5e-05,32,199.04855,10.607739,14.108456806709828,45.94365,29.358261,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,7.5e-05,32,29.477121,3.3491693,5.429283686928637,169491600.0,76.42718,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,7.5e-05,32,2.264429,1.016451,1.5048020110324236,2.362848,2.4039648,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,7.5e-05,32,68.62322,4.690492,8.283913468347809,235239870.0,12.586578,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,7.5e-05,32,124.627945,7.019636,11.163688680104308,6.282687,5.5319,9.203986,131.01375
Volumrate_Easington_hourly,500,24,5e-05,16,206.51706,10.81606,14.370701420813525,45.355164,29.910126,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,16,27.18286,3.6691546,5.213718387175929,250710850.0,81.723526,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,16,2.8159146,1.1459848,1.6780687205504703,2.665051,2.7053146,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,16,66.88298,4.7139297,8.178201534975749,239772030.0,12.618741,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,16,102.63924,5.5955195,10.131102430150202,5.129679,4.5028005,9.203986,131.01375
Volumrate_Easington_hourly,500,24,5e-05,32,207.78903,10.69623,14.414889246276639,45.535355,29.54756,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,5e-05,32,29.453327,3.8470566,5.4270919633773556,220124370.0,83.734024,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,5e-05,32,1.7701848,0.8346852,1.3304829030563743,1.944738,1.9681251,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,32,65.68629,3.8731997,8.104707701470149,243596220.0,10.733919,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,32,127.74551,7.0321918,11.302455763533034,6.307687,5.543608,9.203986,131.01375
Volumrate_Easington_hourly,500,24,2.5e-05,16,203.5086,10.864359,14.265644253135967,46.5474,29.896715,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,2.5e-05,16,29.049412,3.485759,5.389750622587435,239381150.0,75.56803,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,2.5e-05,16,1.7351482,0.8803123,1.3172502387367506,2.0539315,2.0611694,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,2.5e-05,16,68.81791,4.871361,8.295656046433136,237473630.0,13.006918,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,2.5e-05,16,118.09347,6.6447906,10.8670818397766,5.9769783,5.25077,9.203986,131.01375
Volumrate_Easington_hourly,500,24,2.5e-05,32,216.18483,11.028529,14.70322514661032,46.868153,30.156109,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,2.5e-05,32,27.738548,3.3473237,5.26673981499073,195156750.0,75.07189,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,2.5e-05,32,1.8617955,0.9127833,1.3644762895060978,2.1289263,2.1403844,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,2.5e-05,32,67.03582,4.786259,8.187540534698085,236305250.0,12.8109665,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,2.5e-05,32,102.95484,5.732606,10.146666527178743,5.244482,4.5937243,9.203986,131.01375
Volumrate_Easington_hourly,500,24,1e-05,16,202.27643,10.945902,14.222391789803016,45.547207,29.92647,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,1e-05,16,38.34553,4.3396792,6.192376883202689,271684640.0,85.16327,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,1e-05,16,3.1144605,1.1792078,1.764783405489817,2.7398071,2.7881618,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,1e-05,16,72.3376,4.884999,8.50515142181536,237231520.0,13.007648,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,1e-05,16,116.86777,6.446652,10.810539641201283,5.83835,5.1252875,9.203986,131.01375
Volumrate_Easington_hourly,500,24,1e-05,32,221.18353,12.049469,14.872240339466135,49.96729,32.34283,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,1e-05,32,50.2773,5.332424,7.090648897550215,354846560.0,96.113335,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,1e-05,32,7.2608137,2.0318792,2.6945897114539963,4.707137,4.850123,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,1e-05,32,81.25742,6.111015,9.014289955447346,231741020.0,15.80838,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,1e-05,32,129.52101,7.1360674,11.380729825127169,6.3683605,5.587573,9.203986,131.01375
Volumrate_Easington_hourly,500,48,0.01,16,591.3332,19.041464,24.31734341818548,88.28236,43.579144,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,16,379.077,18.157555,19.4698997390744,997262000.0,149.69217,4.8751874,3.6160324
Volumrate_Belgia_hourly,500,48,0.01,16,3.77148,1.5340669,1.9420298873770137,3.5720806,3.483618,0.70383817,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,16,183.78584,10.695296,13.55676373237757,186344500.0,28.19421,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,16,216.8977,10.783618,14.727447337475867,9.24413,8.152082,9.212003,131.0256
Volumrate_Easington_hourly,500,24,0.01,16,209.50363,11.474337,14.47424027684344,47.54685,31.245667,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,16,162.83612,11.115766,12.760725708417556,534022300.0,131.6709,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,16,25.218622,4.092441,5.021814632943116,9.468057,10.161121,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,16,69.360504,4.7582655,8.328295392839438,238210720.0,12.647152,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,16,142.90779,7.6197524,11.954404675168702,6.5950794,6.136901,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.01,32,363.27963,15.313498,19.0598959222856,49.09932,46.061966,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.01,32,55.386585,5.255989,7.44221641956183,90827980.0,127.898445,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.01,32,10.031171,2.3948843,3.167202368815693,5.5612726,5.6817646,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.01,32,117.28478,7.5250325,10.829809897208166,278460830.0,16.77747,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.01,32,155.9,8.349065,12.485991906792362,7.123226,6.774562,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,16,213.99086,11.297005,14.628426435722728,42.78127,30.941465,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,16,46.851818,5.8103786,6.844838791725982,394052060.0,104.85846,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,16,6.190203,1.9565322,2.488011895037854,4.5515614,4.453087,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,16,71.26885,4.6467085,8.4420881441671,230864800.0,12.654467,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,16,109.264755,5.9230614,10.452978295635337,5.2998834,4.8336396,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,32,195.9717,10.309631,13.998989068725251,42.269062,28.718468,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,32,168.14125,10.065121,12.966929112567538,448407740.0,121.60551,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,32,3.9418554,1.4594404,1.9854106453333595,3.3905349,3.463802,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,32,75.8128,5.143042,8.70705447016307,227922540.0,13.768225,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,32,111.58344,6.0373197,10.563306427818342,5.4265857,4.8790216,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,16,199.99815,10.811679,14.142070346541324,44.882065,30.402124,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,42.14954,5.36499,6.492267704547446,323153020.0,101.4797,5.1213937,3.7500505
