Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Belgia_hourly,500,24,5e-05,32,2.8866866,1.3390673,1.6990251803583787,3.1124916,3.1547182,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,5e-05,32,89.85086,6.66791,9.478969384680125,227661380.0,16.934855,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,5e-05,32,196.30089,9.511604,14.01074188119685,8.343788,7.276571,9.203986,131.01375
Volumrate_Easington_hourly,500,24,2.5e-05,16,338.43567,14.751398,18.39662112849293,58.394535,38.99248,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,2.5e-05,16,35.12232,4.4302278,5.926408547157567,253830140.0,90.66977,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,2.5e-05,16,5.6385884,1.9532539,2.3745712093970384,4.529759,4.630638,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,2.5e-05,16,109.87843,6.9190993,10.48229141111518,273710980.0,16.96137,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,2.5e-05,16,201.22185,9.85345,14.185268680366251,8.566594,7.503695,9.203986,131.01375
Volumrate_Easington_hourly,500,24,2.5e-05,32,308.00116,14.220073,17.5499618138607,57.31957,37.21345,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,2.5e-05,32,36.178772,4.4160805,6.014879215134436,241751920.0,90.06065,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,2.5e-05,32,2.9093602,1.3518943,1.705684663225996,3.1430218,3.1537247,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,2.5e-05,32,97.74093,6.682726,9.886401198105524,244944670.0,16.795029,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,2.5e-05,32,192.56958,9.536323,13.876944190927807,8.327094,7.294242,9.203986,131.01375
Volumrate_Easington_hourly,500,24,1e-05,16,355.37552,15.040033,18.85140628172944,64.462296,38.796894,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,1e-05,16,35.638203,4.527209,5.969774088458987,242023420.0,92.417274,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,1e-05,16,2.8242812,1.3043771,1.6805597923512643,3.0402308,3.017213,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,1e-05,16,81.32347,5.872292,9.017952709420022,222817230.0,14.869368,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,1e-05,16,163.52696,8.89213,12.787766117671742,7.780157,6.8538947,9.203986,131.01375
Volumrate_Easington_hourly,500,24,1e-05,32,305.52942,13.651483,17.47939984511232,58.21029,35.85988,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,1e-05,32,33.81124,4.1651,5.814743429413059,199978340.0,88.82891,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,1e-05,32,3.5848558,1.4715692,1.8933715416966148,3.4176316,3.482726,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,1e-05,32,81.70915,6.2075696,9.039311490466499,199985980.0,15.920724,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,1e-05,32,185.35303,9.45772,13.614441866773312,8.257902,7.2467217,9.203986,131.01375
Volumrate_Easington_hourly,500,48,0.01,16,526.5926,18.652382,22.94760532892335,82.284805,46.28152,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,16,27.362848,3.4330208,5.230950992110359,172952620.0,79.76887,4.8751874,3.6160324
Volumrate_Belgia_hourly,500,48,0.01,16,3.502196,1.4224379,1.8714155266888497,3.3053186,3.3540354,0.70383817,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,16,72.7027,5.6388154,8.526587696957456,229815200.0,14.30734,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,16,233.32219,11.473848,15.274887539064066,9.812018,8.653313,9.212003,131.0256
Volumrate_Easington_hourly,500,48,0.01,32,488.07434,18.098944,22.092404595704664,81.490166,44.815315,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.01,32,31.546907,4.3146,5.6166633711596745,225166000.0,92.44626,4.8751874,3.6160324
Volumrate_Belgia_hourly,500,48,0.01,32,7.403525,2.1895933,2.7209419096410103,5.0717516,5.262829,0.70383817,43.221252
Volumrate_Frankrike_hourly,500,48,0.01,32,76.18986,6.187106,8.728680168439565,217318930.0,15.712791,7.754323,47.560345
Volumrate_Tyskland_hourly,500,48,0.01,32,133.59587,7.3538785,11.558368006413348,6.5368824,5.7818484,9.212003,131.0256
Volumrate_Easington_hourly,500,48,0.005,16,581.7491,19.528185,24.119475211385843,83.07274,48.811325,19.903702,45.249134
Volumrate_St_Fergus_hourly,500,48,0.005,16,25.968735,3.5526314,5.09595278051229,192411230.0,83.54935,4.8751874,3.6160324
Volumrate_Belgia_hourly,500,48,0.005,16,2.7982934,1.0094666,1.6728100167463953,2.3545518,2.3922303,0.70383817,43.221252
