Target Variable,Epochs,Prediction Length,Learning Rate,Batch Size,MSE,MAE,RMSE,MAPE,SMAPE,Std.Dev,Mean
Volumrate_Frankrike_hourly,500,24,0.005,32,108.7275,7.8528438,10.4272480029741,0.21918724,-0.8094139,217682000.0,18.994839,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,32,893.5699,23.269863,29.892639315622603,0.22816414,-9.548157,18.369968,16.037474,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.005,64,527.43286,19.65546,22.96590649915925,0.5081881,-0.33949065,62.164467,51.568913,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.005,64,65.31149,7.5148625,8.081552630523536,2.1550517,-1.4900799,402618270.0,119.09678,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.005,64,58.677834,6.475921,7.660145792158848,0.1772462,-118.28857,14.976014,14.824992,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.005,64,145.14748,9.622702,12.047716638280013,0.2532505,-1.4155054,232578720.0,22.948875,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.005,64,1244.3256,27.367304,35.274999100261326,0.26924655,-13.688658,21.750277,18.7681,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,16,543.3151,19.731213,23.309121058326475,0.5157828,-0.37982595,55.956696,50.882126,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,16,33.27402,3.669804,5.768363819028897,1.5382097,-0.26861238,50180890.0,118.54805,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,16,44.815292,5.4728227,6.6944224813196875,0.15490057,-90.10684,12.666546,12.493836,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,16,114.19941,8.536045,10.686412376698893,0.22463505,-0.900476,182931680.0,20.161829,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,16,1038.8511,24.362616,32.23121273267188,0.24601397,-11.263131,19.241472,16.55399,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,32,520.9831,19.275984,22.825054069195954,0.5050714,-0.32311046,57.17357,49.95397,19.843294,45.19174
Volumrate_St_Fergus_hourly,500,24,0.001,32,31.602356,3.8300614,5.621597278090209,1.4990724,-0.20487821,92699784.0,116.24809,5.1213937,3.7500505
Volumrate_Belgia_hourly,500,24,0.001,32,46.80561,5.572909,6.8414626109289145,0.1583029,-94.15304,12.891597,13.154123,0.70135456,43.217545
Volumrate_Frankrike_hourly,500,24,0.001,32,138.2627,8.330142,11.758515863513558,0.24717133,-1.3009307,210178050.0,19.123592,7.751767,47.57233
Volumrate_Tyskland_hourly,500,24,0.001,32,1001.8747,23.724243,31.652404250296986,0.24159606,-10.826643,19.030151,16.226143,9.203986,131.01375
Volumrate_Easington_hourly,500,24,0.001,64,404.705,17.320654,20.117280794686582,0.44515395,-0.027805805,46.686665,45.63645,19.843294,45.19174
